Date,Open,High,Low,Close,Adj Close,Volume
2019-04-08,36.750000,40.880001,36.000000,39.500000,39.500000,10792600
2019-04-15,38.500000,41.950001,36.250000,39.150002,39.150002,3432800
2019-04-22,39.150002,43.490002,38.139999,43.200001,43.200001,1809800
2019-04-29,43.849998,48.429001,43.599998,46.400002,46.400002,2772400
2019-05-06,44.799999,52.130001,44.799999,51.820000,51.820000,1877200
2019-05-13,50.980000,58.959999,48.119999,54.689999,54.689999,2185100
2019-05-20,54.509998,58.630001,50.620998,53.209999,53.209999,1376500
2019-05-27,53.209999,54.000000,49.500000,51.400002,51.400002,826600
2019-06-03,51.040001,55.290001,43.770000,48.900002,48.900002,5354900
2019-06-10,51.169998,57.369999,49.009998,57.369999,57.369999,2617300
2019-06-17,58.099998,59.820000,52.541000,53.410000,53.410000,2748000
2019-06-24,53.509998,53.560001,45.291000,47.049999,47.049999,4916800
2019-07-01,48.000000,48.735001,44.500000,47.689999,47.689999,2174800
2019-07-08,47.619999,51.880001,46.540001,48.580002,48.580002,3069200
2019-07-15,49.439999,50.360001,44.910000,46.290001,46.290001,3000100
2019-07-22,46.580002,48.730000,43.070000,45.680000,45.680000,3330800
2019-07-29,45.669998,45.680000,39.299999,39.430000,39.430000,2371200
2019-08-05,38.099998,40.560001,35.900002,37.599998,37.599998,2918300
2019-08-12,37.419998,37.439999,33.250000,34.680000,34.680000,3357400
2019-08-19,35.000000,36.430000,33.279999,34.860001,34.860001,2198000
2019-08-26,35.040001,39.560001,34.912998,39.270000,39.270000,3123900
2019-09-02,38.650002,39.584999,31.889999,32.470001,32.470001,6983400
2019-09-09,32.700001,33.110001,26.980000,29.950001,29.950001,6980400
2019-09-16,29.430000,31.320000,28.850000,29.750000,29.750000,2013700
2019-09-23,29.420000,31.850000,27.709999,28.240000,28.240000,4081700
2019-09-30,28.260000,29.209999,26.690001,27.700001,27.700001,2837000
2019-10-07,27.490000,27.620001,24.799999,26.090000,26.090000,11645300
2019-10-14,26.090000,27.670000,24.770000,25.450001,25.450001,5200200
2019-10-21,25.290001,25.799999,23.480000,24.690001,24.690001,5071700
2019-10-28,24.830000,24.899000,21.799999,22.959999,22.959999,3600800
2019-11-04,23.059999,23.959999,21.719999,22.340000,22.340000,3023800
2019-11-11,22.160000,23.825001,21.799999,23.520000,23.520000,2442200
2019-11-18,23.389999,27.840000,23.049999,26.879999,26.879999,6067300
2019-11-25,27.100000,27.450001,24.610001,26.049999,26.049999,2944500
2019-12-02,26.150000,26.230000,20.530001,21.809999,21.809999,9696400
2019-12-09,21.820000,23.530001,21.820000,23.090000,23.090000,7520300
2019-12-16,23.190001,25.440001,22.920000,24.650000,24.650000,9060100
2019-12-23,24.650000,24.680000,23.180000,23.309999,23.309999,2448500
2019-12-30,23.260000,24.459000,22.750000,24.379999,24.379999,2390600
2020-01-06,24.120001,25.490000,24.010000,24.209999,24.209999,3684200
2020-01-13,24.100000,25.879999,24.000000,25.230000,25.230000,2488300
2020-01-20,25.309999,25.790001,23.340000,23.719999,23.719999,2776600
2020-01-27,23.200001,24.650000,22.950001,23.320000,23.320000,2481200
2020-02-03,23.389999,24.650000,22.290001,22.500000,22.500000,3218100
2020-02-10,22.469999,23.129999,20.959999,21.299999,21.299999,4817700
2020-02-17,21.299999,22.760000,20.628000,21.040001,21.040001,3930400
2020-02-24,20.160000,21.000000,17.975000,20.600000,20.600000,6652200
2020-03-02,20.990000,21.629999,18.940001,19.590000,19.590000,5198400
2020-03-09,18.500000,19.280001,13.750000,15.610000,15.610000,5475700
2020-03-16,13.120000,19.570000,12.330000,19.070000,19.070000,8528300
2020-03-23,17.160000,19.209999,15.710000,16.299999,16.299999,12033600
2020-03-30,16.180000,17.730000,14.700000,15.110000,15.110000,9758800
2020-04-06,15.850000,19.270000,15.600000,18.389999,18.389999,8780200
2020-04-13,18.389999,20.940001,18.100000,20.910000,20.910000,6281300
2020-04-20,20.520000,22.100000,20.139999,21.459999,21.459999,4272900
2020-04-27,21.730000,22.815001,20.000000,20.730000,20.730000,3560800
2020-05-04,20.469999,24.700001,20.129999,24.570000,24.570000,4314900
2020-05-11,24.400000,26.030001,22.959999,25.719999,25.719999,4536600
2020-05-18,26.650000,27.934999,24.600000,27.879999,27.879999,4082800
2020-05-25,28.120001,28.590000,23.469999,26.549999,26.549999,7123400
2020-06-01,27.379999,29.062000,23.590000,26.270000,26.270000,13681300
2020-06-08,26.320000,27.490000,23.910000,24.770000,24.770000,9928200
2020-06-15,24.520000,32.689999,24.400000,30.580000,30.580000,10597100
2020-06-22,30.270000,31.320000,28.309999,29.110001,29.110001,17707800
2020-06-29,29.049999,30.739000,27.500000,30.010000,30.010000,6374900
2020-07-06,30.280001,30.620001,28.110001,28.219999,28.219999,8649600
2020-07-13,28.400000,28.700001,24.360001,25.760000,25.760000,7666800
